query_idx,query_id,aggregate_label,aggregate_detail_label,legacy_category,query_text,query_image_ref,primary_pos_cand_id,rank_multimodal,rank_text_only,rank_image_only,best_retriever_multimodal,best_retriever_text_only,best_retriever_image_only,support_multimodal,support_text_only,support_image_only,support_either_unimodal
87,,composition_required,composition_required,multimodal_needed,has a little bird instead of a cat,COCO2017_unlabeled/unlabeled2017/000000194689.jpg,circo_img_39054,1,225,121,gme_qwen2vl_retriever_2,gme_qwen2vl_retriever_2,lamra,10,0,0,0
93,,composition_required,composition_required,multimodal_needed,has only one box and has one person next to it,COCO2017_unlabeled/unlabeled2017/000000434490.jpg,circo_img_368575,2,46,11,lamra,gemini_embedding_2,gemini_embedding_2,8,0,0,0
98,,composition_required,composition_required,multimodal_needed,has a brick wall instead of a window in the background,COCO2017_unlabeled/unlabeled2017/000000297331.jpg,circo_img_68426,1,569,12,qwen3vl8b_vllm,qwen3vl8b_vllm,lamra,9,0,0,0
99,,composition_required,composition_required,multimodal_needed,has a screen in the background and is darker,COCO2017_unlabeled/unlabeled2017/000000309794.jpg,circo_img_164547,6,61,89,qwen3vl8b_vllm,qwen3vl8b_vllm,rzen_embed,2,0,0,0
102,,composition_required,composition_required,multimodal_needed,has a different color and there is a person touching it with their hands,COCO2017_unlabeled/unlabeled2017/000000277771.jpg,circo_img_31503,2,72,30,rzen_embed,gme_qwen2vl_retriever_2,,6,0,0,0
103,,composition_required,composition_required,multimodal_needed,has boats and the sky in the background,COCO2017_unlabeled/unlabeled2017/000000067787.jpg,circo_img_464388,1,475,220,gme_qwen2vl_retriever_2,qwen3vl2b_vllm,rzen_embed,9,0,0,0
107,,composition_required,composition_required,multimodal_needed,has the same color and the photo shows one dog and no people,COCO2017_unlabeled/unlabeled2017/000000493122.jpg,circo_img_489127,7,138,53,qwen3vl8b_vllm,e5_omni,gemini_embedding_2,2,0,0,0
112,,composition_required,composition_required,multimodal_needed,"shows only one of them, has a sink and a mirror next to it and is in color",COCO2017_unlabeled/unlabeled2017/000000002192.jpg,circo_img_294821,2,90,106,qwen3vl2b_vllm,gemini_embedding_2,vlm2vec_v2,4,0,0,0
113,,composition_required,composition_required,multimodal_needed,"is only one, is heavily filled and is on a wooden counter",COCO2017_unlabeled/unlabeled2017/000000381726.jpg,circo_img_549702,1,13,67,mmembed,qwen3vl2b_vllm,gemini_embedding_2,6,0,0,0
115,,composition_required,composition_required,multimodal_needed,shows a person of the same sex holding a baby,COCO2017_unlabeled/unlabeled2017/000000540829.jpg,circo_img_110309,1,15,44,qwen3vl2b_vllm,vlm2vec_v2,gemini_embedding_2,9,0,0,0
118,,composition_required,composition_required,multimodal_needed,has a green support and is yellow,COCO2017_unlabeled/unlabeled2017/000000151606.jpg,circo_img_272079,3,163,23,lamra_qwen25vl,rzen_embed,qwen3vl8b_vllm,7,0,0,0
119,,composition_required,composition_required,multimodal_needed,has a person and shows the sky in the background,COCO2017_unlabeled/unlabeled2017/000000526302.jpg,circo_img_307312,1,2301,11,gemini_embedding_2,e5_omni,qwen3vl8b_vllm,10,0,0,0
124,,composition_required,composition_required,multimodal_needed,is taken from the side and shows the mirror,COCO2017_unlabeled/unlabeled2017/000000249917.jpg,circo_img_406110,1,164,21,lamra,e5_omni,gme_qwen2vl_retriever_2,8,0,0,0
127,,composition_required,composition_required,multimodal_needed,"are the same number, have a different shape, and are seen from the front",COCO2017_unlabeled/unlabeled2017/000000223654.jpg,circo_img_366981,4,104,11,vlm2vec_v2,rzen_embed,qwen3vl2b_vllm,1,0,0,0
131,,composition_required,composition_required,multimodal_needed,has an adult wearing a hat instead of a child and shows the sky in the background,COCO2017_unlabeled/unlabeled2017/000000157557.jpg,circo_img_432690,5,130,181,lamra,mmembed,lamra_qwen25vl,4,0,0,0
134,,unresolved,unresolved,multimodal_needed,instead of having a mirror has a window over the sink,COCO2017_unlabeled/unlabeled2017/000000280105.jpg,circo_img_102287,16,66,737,qwen3vl8b_vllm,gemini_embedding_2,qwen3vl8b_vllm,0,0,0,0
135,,composition_required,composition_required,multimodal_needed,has two of them and they are vertical,COCO2017_unlabeled/unlabeled2017/000000367756.jpg,circo_img_31023,8,111,173,lamra,voyage_multimodal_35,e5_omni,1,0,0,0
137,,composition_required,composition_required,multimodal_needed,has a window in the background,COCO2017_unlabeled/unlabeled2017/000000211621.jpg,circo_img_74308,1,342,19,lamra,qwen3vl2b_vllm,rzen_embed,10,0,0,0
138,,composition_required,composition_required,multimodal_needed,is taken from a lower perspective and shows a sandwich instead of vegetables,COCO2017_unlabeled/unlabeled2017/000000015169.jpg,circo_img_334392,3,15,430,mmembed,gemini_embedding_2,voyage_multimodal_35,5,0,0,0
140,,composition_required,composition_required,multimodal_needed,have the same shape and one of them is half eaten,COCO2017_unlabeled/unlabeled2017/000000253571.jpg,circo_img_166818,9,90,62,gemini_embedding_2,qwen3vl8b_vllm,e5_omni,1,0,0,0
147,,composition_required,composition_required,multimodal_needed,is crossing the street and there are more people in the background,COCO2017_unlabeled/unlabeled2017/000000101395.jpg,circo_img_367338,1,12,15,rzen_embed,rzen_embed,vlm2vec_v2,10,0,0,0
148,,composition_required,composition_required,multimodal_needed,"has the same color, is in a congested street and is stopped",COCO2017_unlabeled/unlabeled2017/000000548329.jpg,circo_img_248677,2,25,23,e5_omni,gme_qwen2vl_retriever_2,e5_omni,10,0,0,0
155,,composition_required,composition_required,multimodal_needed,is shot from a different angle and has one dog,COCO2017_unlabeled/unlabeled2017/000000416518.jpg,circo_img_511533,1,581,15,qwen3vl2b_vllm,gemini_embedding_2,gemini_embedding_2,9,0,0,0
157,,unresolved,unresolved,multimodal_needed,is in a different type of room,COCO2017_unlabeled/unlabeled2017/000000389808.jpg,circo_img_40925,245,1320,1405,lamra,gme_qwen2vl_retriever_2,rzen_embed,0,0,0,0
162,,composition_required,composition_required,multimodal_needed,are only two and has different shape and color,COCO2017_unlabeled/unlabeled2017/000000392547.jpg,circo_img_99492,1,21,19,lamra,gme_qwen2vl_retriever_2,,6,0,0,0
166,,composition_required,composition_required,multimodal_needed,is next to fruits instead of flowers,COCO2017_unlabeled/unlabeled2017/000000458004.jpg,circo_img_242735,1,15,39,gemini_embedding_2,rzen_embed,lamra_qwen25vl,10,0,0,0
168,,composition_required,composition_required,multimodal_needed,has two children instead of a cat,COCO2017_unlabeled/unlabeled2017/000000548497.jpg,circo_img_404903,1,11,340,gme_qwen2vl_retriever_2,gme_qwen2vl_retriever_2,rzen_embed,10,0,0,0
169,,composition_required,composition_required,multimodal_needed,is completely white and there is a person in it,COCO2017_unlabeled/unlabeled2017/000000221372.jpg,circo_img_83703,1,61,446,gme_qwen2vl_retriever_2,gme_qwen2vl_retriever_2,,5,0,0,0
182,,composition_required,composition_required,multimodal_needed,is shot next to a car,COCO2017_unlabeled/unlabeled2017/000000282616.jpg,circo_img_241618,1,179,47,gme_qwen2vl_retriever_2,rzen_embed,mmembed,9,0,0,0
183,,composition_required,composition_required,multimodal_needed,shows two people next to them,COCO2017_unlabeled/unlabeled2017/000000174566.jpg,circo_img_101705,1,321,11,gme_qwen2vl_retriever_2,gme_qwen2vl_retriever_2,e5_omni,11,0,0,0
189,,composition_required,composition_required,multimodal_needed,are black instead of blue and the walls are not white,COCO2017_unlabeled/unlabeled2017/000000550727.jpg,circo_img_26168,1,40,78,gme_qwen2vl_retriever_2,gme_qwen2vl_retriever_2,,9,0,0,0
192,,composition_required,composition_required,multimodal_needed,is shot from the same angle and has a bus in the background,COCO2017_unlabeled/unlabeled2017/000000418908.jpg,circo_img_192785,3,732,45,rzen_embed,qwen3vl2b_vllm,mmembed,6,0,0,0
193,,composition_required,composition_required,multimodal_needed,instead of skiing is hiking with snowshoes,COCO2017_unlabeled/unlabeled2017/000000299069.jpg,circo_img_87087,4,74,352,lamra_qwen25vl,gme_qwen2vl_retriever_2,qwen3vl8b_vllm,1,0,0,0
196,,composition_required,composition_required,multimodal_needed,"is bigger, has the same color pattern, is on a beach and is seen from a farther distance and from a similar angle",COCO2017_unlabeled/unlabeled2017/000000113930.jpg,circo_img_270506,1,28,18,gme_qwen2vl_retriever_2,gme_qwen2vl_retriever_2,qwen3vl8b_vllm,11,0,0,0
199,,composition_required,composition_required,multimodal_needed,is seen from behind and has a big clock in the background,COCO2017_unlabeled/unlabeled2017/000000094215.jpg,circo_img_444686,1,100,25,lamra,gemini_embedding_2,e5_omni,6,0,0,0
204,,composition_required,composition_required,multimodal_needed,are on a white platter and are the same number,COCO2017_unlabeled/unlabeled2017/000000549959.jpg,circo_img_116235,2,23,11,lamra,rzen_embed,e5_omni,8,0,0,0
207,,unresolved,unresolved,multimodal_needed,"wears a white cap, is seen from the front, and is playing on a hard court",COCO2017_unlabeled/unlabeled2017/000000416863.jpg,circo_img_3944,70,60,604,gemini_embedding_2,e5_omni,,0,0,0,0
210,,composition_required,composition_required,multimodal_needed,has a plane instead of a truck,COCO2017_unlabeled/unlabeled2017/000000015820.jpg,circo_img_223594,1,50,73,gemini_embedding_2,e5_omni,rzen_embed,10,0,0,0
217,,composition_required,composition_required,multimodal_needed,has some shelves in the background and the person is a child,COCO2017_unlabeled/unlabeled2017/000000372035.jpg,circo_img_46164,1,12,29,gme_qwen2vl_retriever_2,qwen3vl2b_vllm,e5_omni,11,0,0,0
